shot,ageSeconds,x,y,z
1,0,0.08746337890625,1.724365234375,0.85040283203125
2,0,0.08746337890625,1.724365234375,0.85040283203125
3,0,0.08746337890625,1.724365234375,0.85040283203125
4,0,0.08746337890625,1.724365234375,0.85040283203125
5,0,0.08746337890625,1.724365234375,0.85040283203125
6,0,0.08746337890625,1.724365234375,0.85040283203125
7,0,0.08746337890625,1.724365234375,0.85040283203125
8,0,0.08746337890625,1.724365234375,0.85040283203125
8,0.0083333333333333332,0.08740234375,1.79718017578125,1.01861572265625
8,0.016666666666666666,0.08734130859375,1.87005615234375,1.1868896484375
7,0.0083333333333333332,0.0750732421875,1.82928466796875,1.000244140625
7,0.016666666666666666,0.06268310546875,1.9342041015625,1.15008544921875
6,0.0083333333333333332,0.1065673828125,1.8140869140625,1.0091552734375
6,0.016666666666666666,0.125732421875,1.90374755859375,1.16790771484375
5,0.0083333333333333332,0.074462890625,1.8077392578125,1.01318359375
5,0.016666666666666666,0.06146240234375,1.89117431640625,1.1759033203125
4,0.0083333333333333332,0.09124755859375,1.82879638671875,1.00103759765625
4,0.016666666666666666,0.09503173828125,1.9332275390625,1.15167236328125
3,0.0083333333333333332,0.09454345703125,1.80694580078125,1.013916015625
3,0.016666666666666666,0.1015625,1.88958740234375,1.17742919921875
2,0.0083333333333333332,0.078857421875,1.81890869140625,1.00726318359375
2,0.016666666666666666,0.07025146484375,1.9134521484375,1.1640625
1,0.0083333333333333332,0.09326171875,1.818603515625,1.007568359375
1,0.016666666666666666,0.0989990234375,1.91278076171875,1.16473388671875
8,0.025,0.08721923828125,1.94287109375,1.3551025390625
8,0.033333333333333333,0.087158203125,2.0157470703125,1.52337646484375
7,0.025,0.05029296875,2.03912353515625,1.2999267578125
7,0.033333333333333333,0.03790283203125,2.14398193359375,1.44976806640625
6,0.025,0.14483642578125,1.99346923828125,1.32659912109375
6,0.033333333333333333,0.1639404296875,2.08319091796875,1.4853515625
5,0.025,0.0484619140625,1.97454833984375,1.33868408203125
5,0.033333333333333333,0.03546142578125,2.05792236328125,1.50140380859375
4,0.025,0.098876953125,2.03759765625,1.30230712890625
4,0.033333333333333333,0.1026611328125,2.14202880859375,1.4530029296875
3,0.025,0.108642578125,1.97216796875,1.3409423828125
3,0.033333333333333333,0.11566162109375,2.05474853515625,1.50445556640625
2,0.025,0.0616455078125,2.00799560546875,1.3209228515625
2,0.033333333333333333,0.05303955078125,2.1025390625,1.477783203125
1,0.025,0.10479736328125,2.00701904296875,1.3218994140625
1,0.033333333333333333,0.110595703125,2.10125732421875,1.47906494140625
8,0.041666666666666664,0.08709716796875,2.08856201171875,1.69158935546875
8,0.049999999999999996,0.0870361328125,2.16143798828125,1.85986328125
7,0.041666666666666664,0.0255126953125,2.2489013671875,1.599609375
7,0.049999999999999996,0.01312255859375,2.35382080078125,1.74945068359375
6,0.041666666666666664,0.18310546875,2.17291259765625,1.64410400390625
6,0.049999999999999996,0.20220947265625,2.2625732421875,1.8028564453125
5,0.041666666666666664,0.0224609375,2.141357421875,1.6641845703125
5,0.049999999999999996,0.00946044921875,2.2247314453125,1.826904296875
4,0.041666666666666664,0.1064453125,2.2464599609375,1.6036376953125
4,0.049999999999999996,0.1102294921875,2.35089111328125,1.7542724609375
3,0.041666666666666664,0.12274169921875,2.1373291015625,1.66802978515625
3,0.049999999999999996,0.12982177734375,2.219970703125,1.83154296875
2,0.041666666666666664,0.04443359375,2.19708251953125,1.63458251953125
2,0.049999999999999996,0.03582763671875,2.2916259765625,1.79144287109375
1,0.041666666666666664,0.1163330078125,2.1954345703125,1.63623046875
1,0.049999999999999996,0.12213134765625,2.2896728515625,1.79339599609375
8,0.058333333333333327,0.08697509765625,2.2342529296875,2.028076171875
8,0.066666666666666666,0.08685302734375,2.30712890625,2.19635009765625
7,0.058333333333333327,0.000732421875,2.458740234375,1.89923095703125
7,0.066666666666666666,-0.01171875,2.56365966796875,2.049072265625
6,0.058333333333333327,0.2213134765625,2.352294921875,1.96160888671875
6,0.066666666666666666,0.24041748046875,2.4420166015625,2.12030029296875
5,0.058333333333333327,-0.0035400390625,2.30810546875,1.98968505859375
5,0.066666666666666666,-0.01654052734375,2.3914794921875,2.15240478515625
4,0.058333333333333327,0.114013671875,2.455322265625,1.9049072265625
4,0.066666666666666666,0.11785888671875,2.5596923828125,2.0555419921875
3,0.058333333333333327,0.1368408203125,2.30255126953125,1.99505615234375
3,0.066666666666666666,0.1439208984375,2.3851318359375,2.1585693359375
2,0.058333333333333327,0.0272216796875,2.38616943359375,1.94830322265625
2,0.066666666666666666,0.01861572265625,2.480712890625,2.1051025390625
1,0.058333333333333327,0.1279296875,2.3839111328125,1.9505615234375
1,0.066666666666666666,0.1336669921875,2.47808837890625,2.10772705078125
8,0.075,0.0867919921875,2.37884521484375,2.36279296875
8,0.083333333333333329,0.08673095703125,2.4483642578125,2.525634765625
7,0.075,-0.02392578125,2.6671142578125,2.19732666015625
7,0.083333333333333329,-0.03594970703125,2.7677001953125,2.3424072265625
6,0.075,0.25933837890625,2.5303955078125,2.27740478515625
6,0.083333333333333329,0.27789306640625,2.61627197265625,2.4310302734375
