shot,ageSeconds,x,y,z
1,0,0.08746337890625,0.83837890625,0.6842041015625
2,0,0.08746337890625,0.83837890625,0.6842041015625
3,0,0.08746337890625,0.83837890625,0.6842041015625
4,0,0.08746337890625,0.83837890625,0.6842041015625
5,0,0.08746337890625,0.83837890625,0.6842041015625
6,0,0.08746337890625,0.83837890625,0.6842041015625
7,0,0.08746337890625,0.83837890625,0.6842041015625
8,0,0.08746337890625,0.83837890625,0.6842041015625
8,0.0083333333333333332,0.1275634765625,0.75439453125,0.8421630859375
8,0.016666666666666666,0.16766357421875,0.67034912109375,1.0001220703125
7,0.0083333333333333332,0.1190185546875,0.78900146484375,0.85791015625
7,0.016666666666666666,0.1505126953125,0.73956298828125,1.0316162109375
6,0.0083333333333333332,0.14794921875,0.7723388671875,0.84417724609375
6,0.016666666666666666,0.20843505859375,0.706298828125,1.004150390625
5,0.0083333333333333332,0.1162109375,0.765380859375,0.84991455078125
5,0.016666666666666666,0.14495849609375,0.69232177734375,1.01556396484375
4,0.0083333333333333332,0.13470458984375,0.7879638671875,0.85400390625
4,0.016666666666666666,0.18194580078125,0.73760986328125,1.02386474609375
3,0.0083333333333333332,0.1356201171875,0.76416015625,0.84478759765625
3,0.016666666666666666,0.18377685546875,0.69000244140625,1.00537109375
2,0.0083333333333333332,0.1217041015625,0.7769775390625,0.853515625
2,0.016666666666666666,0.156005859375,0.715576171875,1.0228271484375
1,0.0083333333333333332,0.13568115234375,0.7764892578125,0.84991455078125
1,0.016666666666666666,0.183837890625,0.71453857421875,1.015625
8,0.025,0.20770263671875,0.58636474609375,1.1580810546875
8,0.033333333333333333,0.247802734375,0.50238037109375,1.31597900390625
7,0.025,0.18206787109375,0.690185546875,1.205322265625
7,0.033333333333333333,0.21356201171875,0.6407470703125,1.37908935546875
6,0.025,0.2689208984375,0.6402587890625,1.16412353515625
6,0.033333333333333333,0.32940673828125,0.57421875,1.3240966796875
5,0.025,0.17376708984375,0.61932373046875,1.1812744140625
5,0.033333333333333333,0.2025146484375,0.5462646484375,1.346923828125
4,0.025,0.22918701171875,0.68719482421875,1.19366455078125
4,0.033333333333333333,0.27642822265625,0.63677978515625,1.363525390625
3,0.025,0.23193359375,0.61578369140625,1.16595458984375
3,0.033333333333333333,0.28009033203125,0.5416259765625,1.3265380859375
2,0.025,0.19024658203125,0.6541748046875,1.192138671875
2,0.033333333333333333,0.22454833984375,0.5927734375,1.3614501953125
1,0.025,0.2320556640625,0.65264892578125,1.1812744140625
1,0.033333333333333333,0.28021240234375,0.59075927734375,1.34698486328125
8,0.041666666666666664,0.28790283203125,0.41839599609375,1.47393798828125
8,0.049999999999999996,0.3280029296875,0.3343505859375,1.63189697265625
7,0.041666666666666664,0.2451171875,0.59136962890625,1.55279541015625
7,0.049999999999999996,0.276611328125,0.54193115234375,1.72650146484375
6,0.041666666666666664,0.389892578125,0.50823974609375,1.48406982421875
6,0.049999999999999996,0.45037841796875,0.44219970703125,1.64404296875
5,0.041666666666666664,0.23126220703125,0.4732666015625,1.51263427734375
5,0.049999999999999996,0.260009765625,0.40020751953125,1.67828369140625
4,0.041666666666666664,0.32366943359375,0.58642578125,1.5333251953125
4,0.049999999999999996,0.37091064453125,0.5360107421875,1.703125
3,0.041666666666666664,0.3282470703125,0.4674072265625,1.48712158203125
3,0.049999999999999996,0.37640380859375,0.3931884765625,1.647705078125
2,0.041666666666666664,0.2587890625,0.5313720703125,1.53076171875
2,0.049999999999999996,0.29302978515625,0.469970703125,1.7000732421875
1,0.041666666666666664,0.32843017578125,0.52880859375,1.5126953125
1,0.049999999999999996,0.3765869140625,0.4669189453125,1.67840576171875
8,0.058333333333333327,0.3680419921875,0.2503662109375,1.78985595703125
8,0.066666666666666666,0.40814208984375,0.1663818359375,1.94781494140625
7,0.058333333333333327,0.30816650390625,0.4925537109375,1.90020751953125
7,0.066666666666666666,0.33966064453125,0.44317626953125,2.07391357421875
6,0.058333333333333327,0.5108642578125,0.37615966796875,1.80401611328125
6,0.066666666666666666,0.57135009765625,0.31011962890625,1.9639892578125
5,0.058333333333333327,0.28875732421875,0.32720947265625,1.843994140625
