shot,ageSeconds,x,y,z
1,0,0.1728515625,1.32763671875,0.62237548828125
1,0.016666666666666666,0.1951904296875,1.33612060546875,2.7564697265625
1,0.033333333333333333,0.217529296875,1.34454345703125,4.8905029296875
1,0.05,0.2398681640625,1.35302734375,7.02459716796875
1,0.066666666666666666,0.25396728515625,1.30596923828125,8.3719482421875
1,0.083333333333333329,0.26300048828125,1.22344970703125,9.2342529296875
1,0.099999999999999992,0.268798828125,1.1181640625,9.7861328125
1,0.11666666666666665,0.2724609375,0.9984130859375,10.13934326171875
1,0.13333333333333333,0.27618408203125,0.86663818359375,10.4925537109375
1,0.15,0.2799072265625,0.722900390625,10.84576416015625
1,0.16666666666666666,0.2835693359375,0.56719970703125,11.198974609375
1,0.18333333333333332,0.28729248046875,0.39947509765625,11.55218505859375
1,0.19999999999999998,0.29095458984375,0.21978759765625,11.90533447265625
1,0.20608801966174195,0.29229736328125,0,12.03436279296875
