surface,x,y,z,normalX,normalY,normalZ,radiusM,hardness,strength
1,0.304931640625,0,16.19281005859375,0,1,0,0.40925443172454834,0.550000011920929,1
1,0.30712890625,0,16.38525390625,0,1,0,0.50380021333694458,0.550000011920929,1
1,0.30938720703125,0,16.5777587890625,0,1,0,0.35633483529090881,0.550000011920929,1
1,0.31158447265625,0,16.770263671875,0,1,0,0.40836703777313232,0.550000011920929,1
1,0.31378173828125,0,16.96270751953125,0,1,0,0.44170007109642029,0.550000011920929,1
1,0.31597900390625,0,17.15521240234375,0,1,0,0.54901033639907837,0.550000011920929,1
1,0.3182373046875,0,17.34771728515625,0,1,0,0.45008757710456848,0.550000011920929,1
1,0.3204345703125,0,17.5401611328125,0,1,0,0.52488893270492554,0.550000011920929,1
1,0.3226318359375,0,17.732666015625,0,1,0,0.39882409572601318,0.550000011920929,1
1,0.3248291015625,0,17.9251708984375,0,1,0,0.47061797976493835,0.550000011920929,1
1,0.32708740234375,0,18.11761474609375,0,1,0,0.39731395244598389,0.550000011920929,1
1,0.32928466796875,0,18.31011962890625,0,1,0,0.35300621390342712,0.550000011920929,1
1,0.33148193359375,0,18.50262451171875,0,1,0,0.35329633951187134,0.550000011920929,1
1,0.33367919921875,0,18.69512939453125,0,1,0,0.3685440719127655,0.550000011920929,1
1,0.3359375,0,18.8875732421875,0,1,0,0.437254399061203,0.550000011920929,1
1,0.338134765625,0,19.080078125,0,1,0,0.44526338577270508,0.550000011920929,1
1,0.34033203125,0,19.2725830078125,0,1,0,0.36295408010482788,0.550000011920929,1
1,0.34259033203125,0,19.46502685546875,0,1,0,0.48958262801170349,0.550000011920929,1
1,0.34478759765625,0,19.65753173828125,0,1,0,0.3716951310634613,0.550000011920929,1
1,0.34698486328125,0,19.85003662109375,0,1,0,0.46153044700622559,0.550000011920929,1
1,0.34918212890625,0,20.04248046875,0,1,0,0.38002565503120422,0.550000011920929,1
1,0.3514404296875,0,20.2349853515625,0,1,0,0.36106929183006287,0.550000011920929,1
1,0.3536376953125,0,20.427490234375,0,1,0,0.43634343147277832,0.550000011920929,1
1,0.3558349609375,0,20.6199951171875,0,1,0,0.35823062062263489,0.550000011920929,1
1,0.3580322265625,0,20.81243896484375,0,1,0,0.44321238994598389,0.550000011920929,1
1,0.36029052734375,0,21.00494384765625,0,1,0,0.38930529356002808,0.550000011920929,1
1,0.36053466796875,0,21.0252685546875,0,1,0,0.74791622161865234,0.550000011920929,1
