surface,x,y,z,normalX,normalY,normalZ,radiusM,hardness,strength
1,0.29962158203125,0,18.0897216796875,0,1,0,0.79444080591201782,0.550000011920929,1
1,0.30401611328125,0,18.441650390625,0,1,0,0.86535012722015381,0.550000011920929,1
1,0.308349609375,0,18.79364013671875,0,1,0,0.75475114583969116,0.550000011920929,1
1,0.312744140625,0,19.1456298828125,0,1,0,0.79377526044845581,0.550000011920929,1
1,0.317138671875,0,19.49755859375,0,1,0,0.81877505779266357,0.550000011920929,1
1,0.321533203125,0,19.84954833984375,0,1,0,0.89925771951675415,0.550000011920929,1
1,0.325927734375,0,20.2015380859375,0,1,0,0.82506567239761353,0.550000011920929,1
1,0.330322265625,0,20.553466796875,0,1,0,0.88116663694381714,0.550000011920929,1
1,0.33251953125,0,20.7294921875,0,1,0,0.78661805391311646,0.550000011920929,1
1,0.334716796875,0,20.90545654296875,0,1,0,0.84046345949172974,0.550000011920929,1
1,0.3369140625,0,21.0814208984375,0,1,0,0.78548544645309448,0.550000011920929,1
1,0.339111328125,0,21.2574462890625,0,1,0,0.7522546648979187,0.550000011920929,1
1,0.34130859375,0,21.43341064453125,0,1,0,0.75247228145599365,0.550000011920929,1
1,0.343505859375,0,21.609375,0,1,0,0.7639080286026001,0.550000011920929,1
1,0.345703125,0,21.785400390625,0,1,0,0.81544077396392822,0.550000011920929,1
1,0.34783935546875,0,21.96136474609375,0,1,0,0.82144755125045776,0.550000011920929,1
1,0.35003662109375,0,22.1373291015625,0,1,0,0.75971555709838867,0.550000011920929,1
1,0.35223388671875,0,22.3133544921875,0,1,0,0.854686975479126,0.550000011920929,1
1,0.35247802734375,0,22.3338623046875,0,1,0,1.1398802995681763,0.550000011920929,1
