shot,ageSeconds,x,y,z
1,0,0.08746337890625,1.25909423828125,0.88604736328125
2,0,0.08746337890625,1.25909423828125,0.88604736328125
3,0,0.08746337890625,1.25909423828125,0.88604736328125
4,0,0.08746337890625,1.25909423828125,0.88604736328125
5,0,0.08746337890625,1.25909423828125,0.88604736328125
6,0,0.08746337890625,1.25909423828125,0.88604736328125
7,0,0.08746337890625,1.25909423828125,0.88604736328125
8,0,0.08746337890625,1.25909423828125,0.88604736328125
8,0.0083333333333333332,0.08770751953125,1.2381591796875,1.06817626953125
8,0.016666666666666666,0.0880126953125,1.21722412109375,1.25030517578125
7,0.0083333333333333332,0.07550048828125,1.275146484375,1.06829833984375
7,0.016666666666666666,0.0634765625,1.291259765625,1.25048828125
6,0.0083333333333333332,0.10693359375,1.25750732421875,1.068359375
6,0.016666666666666666,0.12646484375,1.255859375,1.2506103515625
5,0.0083333333333333332,0.0748291015625,1.25006103515625,1.0687255859375
5,0.016666666666666666,0.06219482421875,1.24102783203125,1.25140380859375
4,0.0083333333333333332,0.0916748046875,1.2742919921875,1.0687255859375
4,0.016666666666666666,0.09588623046875,1.28948974609375,1.2513427734375
3,0.0083333333333333332,0.0948486328125,1.24896240234375,1.0689697265625
3,0.016666666666666666,0.102294921875,1.23883056640625,1.2518310546875
2,0.0083333333333333332,0.0792236328125,1.2626953125,1.06915283203125
2,0.016666666666666666,0.071044921875,1.2662353515625,1.25225830078125
1,0.0083333333333333332,0.0936279296875,1.26220703125,1.06927490234375
1,0.016666666666666666,0.09979248046875,1.26531982421875,1.25244140625
8,0.025,0.0882568359375,1.1962890625,1.43243408203125
8,0.033333333333333333,0.0885009765625,1.17535400390625,1.61456298828125
7,0.025,0.051513671875,1.30731201171875,1.4327392578125
7,0.033333333333333333,0.03955078125,1.3233642578125,1.614990234375
6,0.025,0.14593505859375,1.2542724609375,1.43292236328125
6,0.033333333333333333,0.16546630859375,1.25262451171875,1.61517333984375
5,0.025,0.049560546875,1.2320556640625,1.43408203125
5,0.033333333333333333,0.03692626953125,1.2230224609375,1.61676025390625
4,0.025,0.10009765625,1.30474853515625,1.43402099609375
4,0.033333333333333333,0.10430908203125,1.3199462890625,1.61663818359375
3,0.025,0.10968017578125,1.22869873046875,1.43475341796875
3,0.033333333333333333,0.11712646484375,1.21856689453125,1.61767578125
2,0.025,0.06280517578125,1.26983642578125,1.43536376953125
2,0.033333333333333333,0.0545654296875,1.2734375,1.6185302734375
1,0.025,0.10595703125,1.2684326171875,1.4356689453125
