scenario,gridHash,trace.csv SHA256,paint.csv SHA256
w2-q0-wall-middle-60,33eae058e49792ba9054d3c867110f771a9fcdb221075c41b9d258852832db41,f230caa67d1a781b0e0a8d9ee3573981f787a6a3923786515091dfcf3a3d6ddd,7d41505d7f58b114754e0cd293f9e13f30ffabb542b91855b06e05037a1fc502
w2-q0-wall-near-60,e05ea4a14a22b3fee053835606e99f9cd0ba5da6281ac5889ec9a107390ce91a,17ff24154cda213b25c8134a1ab80ea3899dfd7b588eda10b9e89580e6162f66,46d72d9103220f709cce02bc0fd0081b1b77cae484b1fc600da32e404e56665e
w3-q0-continuous-144,9cdbc7ea69d96a393795a80d969c4205badd97e11909d80a63a65f3eeb7ef1b5,c72763c54d89745b6a36739c0c53ac24c34cd3ab50f15985c77125e7da24c037,c7d585b14cf2faf01588b4092177959aec8d924e8d88c39b17dee528fa062822
w3-q0-continuous-30,82553abca8cfa4edaf6454a2e0946be201ae90fabcb89dae396e19eb5e39bc3e,8b850c1abde8d9042444061618ed23ba1beb28bab9fb49e559a43d2a2dc9cdca,ae9b51d9b00abe83c9fac14dd4d484f7f917436bd330ced6045adbfcd65f2663
w3-q0-continuous-60,82553abca8cfa4edaf6454a2e0946be201ae90fabcb89dae396e19eb5e39bc3e,13987c7f12d3b71aad7c86aca1653c56d840a245af1bcd96f6cb1c60a193c491,6884fb1331adb7bfba372325f03a0fab4c816dacb7b9806b6fedfac3152db89a
w3-q0-down30-60,e0b12d28e829972a4f17c1500d464a50135a83bd051efd2269ebd957dbc388b7,33e42f0a5bd6f76025c01504182bb6ca80ec85ff356d880756620fb081d38308,4a6300215d0f784d3a3a9e39a0191bc882b0f3819b832e1b072d673ca8dba3ea
w3-q0-flat-60,1748c33f9e2560b3e50ddb35d2ba5bfca75b3e0efcccb0819c321524ac928520,a9c9cf7aa467864caef689e9274ab32d5e6083c7226b98d3218ce31f250f53b0,94833d73f59e8872762d9834cf7baead5599316a57fd8a815d50185d6174d026
w3-q0-high-drop-60,4dc049511e4f1925c1ae54928d29818384e99e9108d54d518a69608b8e3213f9,6f793b1c02b366e7adc309db29964498b4e191fdbb6fc3f08df7831076805f28,474023310e33a4430cc73ff3c3305b758e5d4f6772a04cc9dd48e696cb046ff4
w3-q0-occluded-60,4d5d78ac101ea87cdc182c1cddd60d2f3acc04e478713001763a03f94a56bfc6,d2983a2ac8401d5c12394a4339e094c758ce5ef0d4ad39b7429f3d9fa98a695d,75453cae2ca956ff4dc03a441d58763d4ec971fbe480980d687972904f3dc446
w3-q0-slope-60,97cac9babe5e9e7c57a8c18a04a3e6782e06d526519fd6fffacc0e857616013b,fbe02a2ce68da3e1ea14858a4be47b1ee27bec1497eb79cf0170861b008b715e,10f99a7fe3203fdaf350b19a61beeec8885c107b9a254f51387da8a230d6d1a7
